market,period,info,side,n,vbar,re,first,last,mean,francs_change,slope_f,first_minus_vbar,mean_minus_vbar,flag
3,8,insider,seller,14,220.0,175.0,174.67,171.0,165.1957142857143,-3.6699999999999875,6.721142857142813,-45.33000000000001,-54.8042857142857,count_uncertain:2@165
3,9,insider,buyer,16,220.0,400.0,390.0,398.86,395.479375,8.860000000000014,4.18963235294103,170.0,175.479375,"count_uncertain:3@395,2@397,2@394"
3,10,insider,seller,15,220.0,175.0,170.11,172.64,166.818,2.5299999999999727,7.555999999999991,-49.889999999999986,-53.18199999999999,"count_uncertain:8@165,2@171"
3,11,all,seller,18,220.0,175.0,297.75,170.77,176.4461111111111,-126.97999999999999,-33.65421052631572,77.75,-43.553888888888906,"count_uncertain:2@170,7@170,2@172,3@171"
3,12,all,buyer,16,220.0,400.0,389.55,396.73,394.00125,7.180000000000007,5.7132352941174664,169.55,174.00125000000003,"count_uncertain:2@390,10@395"
4,1,none,,3,210.0,210.0,410.34,200.23,262.17,-210.10999999999999,-210.11000000000013,200.33999999999997,52.170000000000016,source_inconsistent
4,2,none,,14,210.0,210.0,149.9,175.46,180.30357142857142,25.560000000000002,-0.5671428571429007,-60.099999999999994,-29.696428571428584,count_uncertain:2@201
4,3,none,,16,210.0,210.0,149.92,155.22,153.92624999999998,5.300000000000011,10.558676470588138,-60.08000000000001,-56.07375000000002,"count_uncertain:2@155,2@160"
4,4,none,,14,210.0,210.0,155.05,160.52,158.17142857142858,5.469999999999999,4.786285714285736,-54.94999999999999,-51.82857142857142,count_uncertain:2@155
4,5,insider,seller,17,210.0,175.0,150.17,160.57,157.8194117647059,10.400000000000006,7.90980392156868,-59.83000000000001,-52.180588235294096,"count_uncertain:2@158,3@160"
4,6,insider,buyer,23,210.0,375.0,170.38,360.22,254.05086956521737,189.84000000000003,140.79326086956522,-39.620000000000005,44.05086956521737,count_uncertain:2@281
4,7,insider,seller,17,210.0,175.0,170.58,180.86,171.15529411764706,10.280000000000001,10.925882352941086,-39.41999999999999,-38.84470588235294,"source_inconsistent;count_uncertain:2@166,2@170"
4,8,insider,seller,10,210.0,175.0,170.75,180.81,174.66699999999997,10.060000000000002,12.645272727272806,-39.25,-35.33300000000003,"source_inconsistent;count_uncertain:2@171,3@171,2@181"
4,9,insider,buyer,20,210.0,375.0,270.55,325.44,301.6155,54.889999999999986,56.51385714285705,60.55000000000001,91.6155,"count_uncertain:2@301,3@311,2@321"
4,10,insider,seller,15,210.0,175.0,150.84,170.74,167.5153333333333,19.900000000000006,13.31250000000009,-59.16,-42.4846666666667,count_uncertain:3@165
4,11,insider,buyer,20,210.0,375.0,281.08,370.88,323.45849999999996,89.80000000000001,74.62271428571425,71.07999999999998,113.45849999999996,ok
4,12,insider,seller,18,210.0,175.0,170.86,170.4,171.6777777777778,-0.46000000000000796,-2.9400000000000217,-39.139999999999986,-38.322222222222194,ok
4,13,insider,buyer,21,210.0,375.0,310.36,374.77,344.5095238095238,64.40999999999997,58.16597402597411,100.36000000000001,134.50952380952378,"count_uncertain:2@341,2@371"
4,14,none,,13,210.0,210.0,170.46,155.78,159.41769230769233,-14.680000000000007,-19.174285714285865,-39.53999999999999,-50.582307692307666,count_uncertain:3@166
5,1,none,,10,212.5,212.0,150.14,170.06,164.492,19.920000000000016,0.8640000000000648,-62.360000000000014,-48.00800000000001,ok
5,2,none,,17,212.5,212.0,165.33,175.62,172.56529411764706,10.289999999999992,12.312549019607863,-47.16999999999999,-39.934705882352944,ok
5,3,none,,18,212.5,212.0,170.7,175.52,175.07611111111112,4.820000000000022,1.544385964912257,-41.80000000000001,-37.42388888888888,unmatched_band:175.3
5,4,insider,seller,15,212.5,180.0,180.17,177.01,176.23666666666668,-3.1599999999999966,0.3685000000000326,-32.33000000000001,-36.26333333333332,unmatched_band:175.4
5,5,insider,seller,16,212.5,180.0,175.42,175.71,175.586875,0.29000000000002046,0.2177205882351827,-37.08000000000001,-36.91312500000001,unmatched_band:175.7
5,6,insider,buyer,17,212.5,245.0,175.63,250.62,237.93705882352938,74.99000000000001,31.901176470588208,-36.870000000000005,25.437058823529384,ok
5,7,insider,buyer,20,212.5,320.0,175.32,275.65,207.0935,100.32999999999998,81.9315714285714,-37.18000000000001,-5.406499999999994,ok
5,8,insider,buyer,23,212.5,320.0,250.62,296.76,278.4021739130435,46.139999999999986,51.43456521739112,38.120000000000005,65.9021739130435,ok
5,9,insider,buyer,21,212.5,245.0,241.19,241.42,241.2238095238095,0.22999999999998977,-3.8862337662339423,28.689999999999998,28.723809523809507,ok
5,10,insider,buyer,20,212.5,245.0,241.23,241.18,241.23000000000002,-0.04999999999998295,-0.04800000000012127,28.72999999999999,28.730000000000018,unmatched_band:241.2
5,11,insider,seller,18,212.5,180.0,211.03,176.98,181.19000000000003,-34.05000000000001,-25.297543859649085,-1.4699999999999989,-31.309999999999974,unmatched_band:176.0
5,12,insider,buyer,18,212.5,245.0,241.18,241.28,241.21444444444444,0.09999999999999432,0.20631578947378285,28.680000000000007,28.71444444444444,unmatched_band:241.3
5,13,insider,buyer,16,212.5,320.0,286.3,316.06,296.8125,29.75999999999999,24.91411764705864,73.80000000000001,84.3125,ok
