market,period,trade_index,n_trades_in_period,price,state,info,vbar,re_price,pi_price,side,D,separating,period_mean_digitized,period_mean_printed,mean_residual,dot_quality_flag,_k,vb,sp,sd,flg,cu,Dc,u,buy,pid
3,7,3,19,310.03,X,insider,220.0,400.0,400.0,buyer,0.50016,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.5001666666666665,0.1111111111111111,1.0,307
3,7,4,19,339.66,X,insider,220.0,400.0,400.0,buyer,0.6648,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.6647777777777779,0.16666666666666666,1.0,307
3,7,5,19,339.71,X,insider,220.0,400.0,400.0,buyer,0.66506,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.6650555555555554,0.2222222222222222,1.0,307
3,7,6,19,374.79,X,insider,220.0,400.0,400.0,buyer,0.85992,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.8599444444444445,0.2777777777777778,1.0,307
3,7,7,19,370.27,X,insider,220.0,400.0,400.0,buyer,0.83484,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.8348333333333332,0.3333333333333333,1.0,307
3,7,8,19,389.82,X,insider,220.0,400.0,400.0,buyer,0.94342,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.9434444444444444,0.3888888888888889,1.0,307
3,7,9,19,394.72,X,insider,220.0,400.0,400.0,buyer,0.97067,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.9706666666666668,0.4444444444444444,1.0,307
3,7,10,19,394.72,X,insider,220.0,400.0,400.0,buyer,0.97067,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.9706666666666668,0.5,1.0,307
3,7,11,19,390.47,X,insider,220.0,400.0,400.0,buyer,0.94705,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.9470555555555558,0.5555555555555556,1.0,307
3,7,12,19,394.52,X,insider,220.0,400.0,400.0,buyer,0.96957,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.9695555555555555,0.6111111111111112,1.0,307
3,7,13,19,394.52,X,insider,220.0,400.0,400.0,buyer,0.96957,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.9695555555555555,0.6666666666666666,1.0,307
3,7,14,19,394.52,X,insider,220.0,400.0,400.0,buyer,0.96957,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.9695555555555555,0.7222222222222222,1.0,307
3,7,15,19,394.52,X,insider,220.0,400.0,400.0,buyer,0.96957,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.9695555555555555,0.7777777777777778,1.0,307
3,7,16,19,394.52,X,insider,220.0,400.0,400.0,buyer,0.96957,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.9695555555555555,0.8333333333333334,1.0,307
3,7,17,19,398.73,X,insider,220.0,400.0,400.0,buyer,0.99293,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.9929444444444445,0.8888888888888888,1.0,307
3,7,18,19,398.73,X,insider,220.0,400.0,400.0,buyer,0.99293,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.9929444444444445,0.9444444444444444,1.0,307
3,7,19,19,398.73,X,insider,220.0,400.0,400.0,buyer,0.99293,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.9929444444444445,1.0,1.0,307
3,8,1,14,174.67,Y,insider,220.0,175.0,220.0,seller,1.00732,True,165.197,165.0,0.197,count_uncertain:2@165,"(3, 8)",220.0,-45.0,seller,False,True,1.0073333333333336,0.0,0.0,308
3,8,2,14,165.61,Y,insider,220.0,175.0,220.0,seller,1.20859,True,165.197,165.0,0.197,count_uncertain:2@165,"(3, 8)",220.0,-45.0,seller,False,True,1.2086666666666663,0.07692307692307693,0.0,308
3,8,3,14,160.09,Y,insider,220.0,175.0,220.0,seller,1.33128,True,165.197,165.0,0.197,count_uncertain:2@165,"(3, 8)",220.0,-45.0,seller,False,True,1.3313333333333333,0.15384615384615385,0.0,308
