group,run_id,session,market,seed,period,state,side,uninformed_level,re,mean_price,discovery,n_trades,first_price,last_price,first_discovery,last_discovery,change_discovery
ladder2,m7_lad2_45,0,A,45,8,X,buyer,260.0,360,342.8,0.828,16,340,355,0.8,0.95,0.15
ladder2,m7_lad2_45,0,A,45,9,Y,seller,260.0,160,159.1,1.009,16,159,160,1.01,1.0,-0.01
ladder2,m7_lad2_45,0,A,45,10,Y,seller,260.0,160,159.0,1.01,16,159,159,1.01,1.01,-0.0
ladder2,m7_lad2_45,0,A,45,11,Y,seller,260.0,160,159.0,1.01,16,159,159,1.01,1.01,-0.0
ladder2,m7_lad2_45,0,A,45,12,Y,seller,260.0,160,159.0,1.01,16,159,159,1.01,1.01,-0.0
ladder2,m7_lad2_45,0,A,45,13,X,buyer,260.0,360,357.3,0.973,18,350,359,0.9,0.99,0.09
ladder2,m8_lad2_42,0,B,42,6,Y,seller,300.0,200,205.8,0.942,26,181,210,1.19,0.9,-0.29
ladder2,m8_lad2_42,0,B,42,7,X,buyer,300.0,400,359.4,0.594,20,350,373,0.5,0.73,0.23
ladder2,m8_lad2_42,0,B,42,8,X,buyer,300.0,400,365.8,0.658,21,300,380,0.0,0.8,0.8
ladder2,m8_lad2_42,0,B,42,9,X,buyer,300.0,400,379.2,0.792,20,350,390,0.5,0.9,0.4
ladder2,m8_lad2_42,0,B,42,10,X,buyer,300.0,400,395.1,0.951,20,370,380,0.7,0.8,0.1
ladder2,m8_lad2_42,0,B,42,11,X,buyer,300.0,400,384.1,0.841,25,395,399,0.95,0.99,0.04
ladder2,m8_lad2_42,0,B,42,12,X,buyer,300.0,400,356.2,0.562,13,349,380,0.49,0.8,0.31
ladder2,m8_lad2_42,0,B,42,13,Y,seller,300.0,200,205.2,0.948,13,250,204,0.5,0.96,0.46
ladder2,m8_lad2_44,0,B,44,5,X,buyer,300.0,400,353.7,0.537,26,300,382,0.0,0.82,0.82
ladder2,m8_lad2_44,0,B,44,6,Y,seller,300.0,200,194.2,1.058,18,150,199,1.5,1.01,-0.49
ladder2,m8_lad2_44,0,B,44,7,Y,seller,300.0,200,199.0,1.01,17,199,199,1.01,1.01,-0.0
ladder2,m8_lad2_44,0,B,44,8,Y,seller,300.0,200,199.0,1.01,16,199,199,1.01,1.01,-0.0
ladder2,m8_lad2_44,0,B,44,9,X,buyer,300.0,400,380.1,0.801,20,380,381,0.8,0.81,0.01
ladder2,m8_lad2_44,0,B,44,10,Y,seller,300.0,200,199.1,1.009,16,199,199,1.01,1.01,-0.0
ladder2,m8_lad2_44,0,B,44,11,X,buyer,300.0,400,381.7,0.817,18,381,382,0.81,0.82,0.01
ladder2,m8_lad2_44,0,B,44,12,Y,seller,300.0,200,199.0,1.01,16,199,199,1.01,1.01,-0.0
ladder2,m8_lad2_44,0,B,44,13,Y,seller,300.0,200,199.0,1.01,17,199,199,1.01,1.01,-0.0
ladder3,m7_lad3_42,0,A,42,5,Y,seller,260.0,160,159.2,1.008,15,160,159,1.0,1.01,0.01
ladder3,m7_lad3_42,0,A,42,6,X,buyer,260.0,360,358.9,0.989,17,359,359,0.99,0.99,0.0
ladder3,m7_lad3_42,0,A,42,7,Y,seller,260.0,160,159.0,1.01,18,159,159,1.01,1.01,-0.0
ladder3,m7_lad3_42,0,A,42,8,X,buyer,260.0,360,347.8,0.878,18,159,359,-1.01,0.99,2.0
ladder3,m7_lad3_42,0,A,42,9,Y,seller,260.0,160,159.0,1.01,17,159,159,1.01,1.01,-0.0
ladder3,m7_lad3_42,0,A,42,10,Y,seller,260.0,160,159.0,1.01,16,159,159,1.01,1.01,-0.0
ladder3,m7_lad3_42,0,A,42,11,X,buyer,260.0,360,359.0,0.99,17,359,359,0.99,0.99,0.0
ladder3,m7_lad3_42,0,A,42,12,X,buyer,260.0,360,359.0,0.99,16,359,359,0.99,0.99,0.0
ladder3,m7_lad3_42,0,A,42,13,X,buyer,260.0,360,359.0,0.99,16,359,359,0.99,0.99,0.0
ladder3,m7_lad3_45,0,A,45,5,X,buyer,260.0,360,289.5,0.295,23,260,291,0.0,0.31,0.31
