group,run_id,session,market,seed,period,state,side,uninformed_level,re,mean_price,discovery,n_trades,first_price,last_price,first_discovery,last_discovery,change_discovery,rung
ladder2,m7_lad2_45,0,A,45,11,Y,seller,260.0,160,159.0,1.01,16,159,159,1.01,1.01,-0.0,2
ladder2,m7_lad2_45,0,A,45,12,Y,seller,260.0,160,159.0,1.01,16,159,159,1.01,1.01,-0.0,2
ladder2,m7_lad2_45,0,A,45,13,X,buyer,260.0,360,357.3,0.973,18,350,359,0.9,0.99,0.09,2
ladder2,m8_lad2_42,0,B,42,6,Y,seller,300.0,200,205.8,0.942,26,181,210,1.19,0.9,-0.29,2
ladder2,m8_lad2_42,0,B,42,7,X,buyer,300.0,400,359.4,0.594,20,350,373,0.5,0.73,0.23,2
ladder2,m8_lad2_42,0,B,42,8,X,buyer,300.0,400,365.8,0.658,21,300,380,0.0,0.8,0.8,2
ladder2,m8_lad2_42,0,B,42,9,X,buyer,300.0,400,379.2,0.792,20,350,390,0.5,0.9,0.4,2
ladder2,m8_lad2_42,0,B,42,10,X,buyer,300.0,400,395.1,0.951,20,370,380,0.7,0.8,0.1,2
ladder2,m8_lad2_42,0,B,42,11,X,buyer,300.0,400,384.1,0.841,25,395,399,0.95,0.99,0.04,2
ladder2,m8_lad2_42,0,B,42,12,X,buyer,300.0,400,356.2,0.562,13,349,380,0.49,0.8,0.31,2
ladder2,m8_lad2_42,0,B,42,13,Y,seller,300.0,200,205.2,0.948,13,250,204,0.5,0.96,0.46,2
ladder2,m8_lad2_44,0,B,44,5,X,buyer,300.0,400,353.7,0.537,26,300,382,0.0,0.82,0.82,2
ladder2,m8_lad2_44,0,B,44,6,Y,seller,300.0,200,194.2,1.058,18,150,199,1.5,1.01,-0.49,2
ladder2,m8_lad2_44,0,B,44,7,Y,seller,300.0,200,199.0,1.01,17,199,199,1.01,1.01,-0.0,2
ladder2,m8_lad2_44,0,B,44,8,Y,seller,300.0,200,199.0,1.01,16,199,199,1.01,1.01,-0.0,2
ladder2,m8_lad2_44,0,B,44,9,X,buyer,300.0,400,380.1,0.801,20,380,381,0.8,0.81,0.01,2
ladder2,m8_lad2_44,0,B,44,10,Y,seller,300.0,200,199.1,1.009,16,199,199,1.01,1.01,-0.0,2
ladder2,m8_lad2_44,0,B,44,11,X,buyer,300.0,400,381.7,0.817,18,381,382,0.81,0.82,0.01,2
ladder2,m8_lad2_44,0,B,44,12,Y,seller,300.0,200,199.0,1.01,16,199,199,1.01,1.01,-0.0,2
ladder2,m8_lad2_44,0,B,44,13,Y,seller,300.0,200,199.0,1.01,17,199,199,1.01,1.01,-0.0,2
ladder3,m7_lad3_42,0,A,42,5,Y,seller,260.0,160,159.2,1.008,15,160,159,1.0,1.01,0.01,3
ladder3,m7_lad3_42,0,A,42,6,X,buyer,260.0,360,358.9,0.989,17,359,359,0.99,0.99,0.0,3
ladder3,m7_lad3_42,0,A,42,7,Y,seller,260.0,160,159.0,1.01,18,159,159,1.01,1.01,-0.0,3
ladder3,m7_lad3_42,0,A,42,8,X,buyer,260.0,360,347.8,0.878,18,159,359,-1.01,0.99,2.0,3
ladder3,m7_lad3_42,0,A,42,9,Y,seller,260.0,160,159.0,1.01,17,159,159,1.01,1.01,-0.0,3
ladder3,m7_lad3_42,0,A,42,10,Y,seller,260.0,160,159.0,1.01,16,159,159,1.01,1.01,-0.0,3
ladder3,m7_lad3_42,0,A,42,11,X,buyer,260.0,360,359.0,0.99,17,359,359,0.99,0.99,0.0,3
ladder3,m7_lad3_42,0,A,42,12,X,buyer,260.0,360,359.0,0.99,16,359,359,0.99,0.99,0.0,3
ladder3,m7_lad3_42,0,A,42,13,X,buyer,260.0,360,359.0,0.99,16,359,359,0.99,0.99,0.0,3
ladder3,m7_lad3_45,0,A,45,5,X,buyer,260.0,360,289.5,0.295,23,260,291,0.0,0.31,0.31,3
ladder3,m7_lad3_45,0,A,45,6,X,buyer,260.0,360,322.4,0.624,19,290,335,0.3,0.75,0.45,3
ladder3,m7_lad3_45,0,A,45,7,Y,seller,260.0,160,323.7,-0.637,24,300,332,-0.4,-0.72,-0.32,3
ladder3,m7_lad3_45,0,A,45,8,X,buyer,260.0,360,343.3,0.833,21,340,330,0.8,0.7,-0.1,3
ladder3,m7_lad3_45,0,A,45,9,Y,seller,260.0,160,300.0,-0.4,22,299,301,-0.39,-0.41,-0.02,3
ladder3,m7_lad3_45,0,A,45,11,Y,seller,260.0,160,159.7,1.003,19,161,160,0.99,1.0,0.01,3
ladder3,m7_lad3_45,0,A,45,12,Y,seller,260.0,160,159.2,1.008,18,159,159,1.01,1.01,-0.0,3
ladder3,m7_lad3_45,0,A,45,13,X,buyer,260.0,360,357.0,0.97,20,350,359,0.9,0.99,0.09,3
ladder3,m8_lad3_42,0,B,42,5,Y,seller,300.0,200,239.8,0.602,6,280,199,0.2,1.01,0.81,3
ladder3,m8_lad3_42,0,B,42,6,Y,seller,300.0,200,199.5,1.005,17,199,199,1.01,1.01,-0.0,3
ladder3,m8_lad3_42,0,B,42,7,X,buyer,300.0,400,365.7,0.657,23,300,399,0.0,0.99,0.99,3
ladder3,m8_lad3_42,0,B,42,8,X,buyer,300.0,400,394.0,0.94,23,399,399,0.99,0.99,0.0,3
ladder3,m8_lad3_42,0,B,42,9,X,buyer,300.0,400,399.0,0.99,16,399,399,0.99,0.99,0.0,3
ladder3,m8_lad3_42,0,B,42,10,X,buyer,300.0,400,395.4,0.954,20,399,380,0.99,0.8,-0.19,3
ladder3,m8_lad3_42,0,B,42,11,X,buyer,300.0,400,399.0,0.99,16,399,399,0.99,0.99,0.0,3
ladder3,m8_lad3_42,0,B,42,12,X,buyer,300.0,400,399.1,0.991,20,399,400,0.99,1.0,0.01,3
ladder3,m8_lad3_42,0,B,42,13,Y,seller,300.0,200,260.3,0.397,23,400,199,-1.0,1.01,2.01,3
ladder3,m8_lad3_44,0,B,44,5,X,buyer,300.0,400,358.2,0.582,21,300,373,0.0,0.73,0.73,3
ladder3,m8_lad3_44,0,B,44,6,Y,seller,300.0,200,205.2,0.948,18,290,199,0.1,1.01,0.91,3
ladder3,m8_lad3_44,0,B,44,7,Y,seller,300.0,200,199.0,1.01,16,199,199,1.01,1.01,-0.0,3
ladder3,m8_lad3_44,0,B,44,8,Y,seller,300.0,200,199.0,1.01,16,199,199,1.01,1.01,-0.0,3
ladder3,m8_lad3_44,0,B,44,9,X,buyer,300.0,400,377.1,0.771,20,370,381,0.7,0.81,0.11,3
ladder3,m8_lad3_44,0,B,44,10,Y,seller,300.0,200,199.0,1.01,16,199,199,1.01,1.01,-0.0,3
ladder3,m8_lad3_44,0,B,44,11,X,buyer,300.0,400,382.2,0.822,17,370,382,0.7,0.82,0.12,3
ladder3,m8_lad3_44,0,B,44,12,Y,seller,300.0,200,199.0,1.01,16,199,199,1.01,1.01,-0.0,3
ladder3,m8_lad3_44,0,B,44,13,Y,seller,300.0,200,199.0,1.01,16,199,199,1.01,1.01,-0.0,3
