group,run_id,session,market,seed,period,state,side,uninformed_level,re,mean_price,discovery,n_trades,first_price,last_price,first_discovery,last_discovery,change_discovery,sample
control,m8_ctrl_43,0,B,43,7,X,buyer,300.0,400,341.9,0.419,16,350,350,0.5,0.5,0.0,Symmetric markets A and B
control,m8_ctrl_43,0,B,43,8,X,buyer,300.0,400,345.3,0.453,21,350,351,0.5,0.51,0.01,Symmetric markets A and B
control,m8_ctrl_43,0,B,43,9,X,buyer,300.0,400,334.2,0.342,25,280,351,-0.2,0.51,0.71,Symmetric markets A and B
control,m8_ctrl_43,0,B,43,10,X,buyer,300.0,400,351.4,0.514,22,350,351,0.5,0.51,0.01,Symmetric markets A and B
control,m8_ctrl_43,0,B,43,11,X,buyer,300.0,400,373.4,0.734,21,290,355,-0.1,0.55,0.65,Symmetric markets A and B
control,m8_ctrl_43,0,B,43,12,X,buyer,300.0,400,360.3,0.603,20,349,370,0.49,0.7,0.21,Symmetric markets A and B
control,m8_ctrl_43,0,B,43,13,Y,seller,300.0,200,283.9,0.161,25,300,100,-0.0,2.0,2.0,Symmetric markets A and B
control,m8_ctrl_44,0,B,44,5,X,buyer,300.0,400,300.8,0.008,12,300,305,0.0,0.05,0.05,Symmetric markets A and B
control,m8_ctrl_44,0,B,44,6,Y,seller,300.0,200,287.0,0.13,9,295,279,0.05,0.21,0.16,Symmetric markets A and B
control,m8_ctrl_44,0,B,44,7,Y,seller,300.0,200,263.0,0.37,2,276,250,0.24,0.5,0.26,Symmetric markets A and B
control,m8_ctrl_44,0,B,44,8,Y,seller,300.0,200,210.5,0.895,13,279,199,0.21,1.01,0.8,Symmetric markets A and B
control,m8_ctrl_44,0,B,44,9,X,buyer,300.0,400,350.2,0.502,19,350,351,0.5,0.51,0.01,Symmetric markets A and B
control,m8_ctrl_44,0,B,44,10,Y,seller,300.0,200,237.2,0.628,10,276,234,0.24,0.66,0.42,Symmetric markets A and B
control,m8_ctrl_44,0,B,44,11,X,buyer,300.0,400,324.7,0.247,24,300,352,0.0,0.52,0.52,Symmetric markets A and B
control,m8_ctrl_44,0,B,44,12,Y,seller,300.0,200,286.6,0.134,7,295,259,0.05,0.41,0.36,Symmetric markets A and B
control,m8_ctrl_44,0,B,44,13,Y,seller,300.0,200,255.4,0.446,17,300,238,-0.0,0.62,0.62,Symmetric markets A and B
m1,m1_paper_0,0,1,20250725,5,Y,buyer,283.3,320,283.6,0.008,18,275,285,-0.22615803814713933,0.04632152588555829,0.27247956403269763,Original markets 1-5 (background)
m1,m1_paper_0,0,1,20250725,6,X,seller,283.3,272,281.0,0.206,12,280,284,0.2920353982300892,-0.06194690265486619,-0.3539823008849554,Original markets 1-5 (background)
m1,m1_paper_0,0,1,20250725,7,Y,buyer,283.3,320,285.8,0.069,13,283,290,-0.008174386920981238,0.1825613079019071,0.19073569482288835,Original markets 1-5 (background)
m1,m1_paper_0,0,1,20250725,8,Y,seller,283.3,262,282.5,0.039,12,280,282,0.1549295774647892,0.06103286384976576,-0.09389671361502343,Original markets 1-5 (background)
m1,m1_paper_1,0,1,20250726,5,Y,buyer,283.3,320,283.2,-0.004,15,278,285,-0.14441416893733006,0.04632152588555829,0.19073569482288835,Original markets 1-5 (background)
m1,m1_paper_1,0,1,20250726,6,X,seller,283.3,272,250.5,2.9,15,250,252,2.946902654867255,2.769911504424777,-0.1769911504424777,Original markets 1-5 (background)
m1,m1_paper_1,0,1,20250726,7,Y,buyer,283.3,320,299.5,0.442,13,300,299,0.45504087193460474,0.42779291553133497,-0.02724795640326976,Original markets 1-5 (background)
m1,m1_paper_1,0,1,20250726,8,Y,seller,283.3,262,280.0,0.156,11,280,280,0.1549295774647892,0.1549295774647892,-0.0,Original markets 1-5 (background)
m1,m1_random_0,0,1,20250727,5,X,seller,283.3,272,274.2,0.805,14,270,279,1.1769911504424777,0.3805309734513281,-0.7964601769911497,Original markets 1-5 (background)
m1,m1_random_0,0,1,20250727,6,Y,buyer,283.3,338,259.0,-0.445,10,150,250,-2.43692870201097,-0.6087751371115177,1.828153564899452,Original markets 1-5 (background)
m1,m1_random_0,0,1,20250727,7,Y,buyer,283.3,320,287.5,0.114,16,300,200,0.45504087193460474,-2.269754768392372,-2.724795640326976,Original markets 1-5 (background)
m1,m1_random_0,0,1,20250727,8,Y,buyer,283.3,320,200.0,-2.273,6,200,200,-2.269754768392372,-2.269754768392372,0.0,Original markets 1-5 (background)
m1,m1_random_1,0,1,20250728,5,X,seller,283.3,272,269.6,1.209,11,250,275,2.946902654867255,0.7345132743362834,-2.212389380530971,Original markets 1-5 (background)
m1,m1_random_1,0,1,20250728,6,Y,buyer,283.3,345,294.2,0.176,19,250,315,-0.5397082658022694,0.5137763371150729,1.0534846029173421,Original markets 1-5 (background)
m1,m1_random_1,0,1,20250728,7,Y,buyer,283.3,320,289.9,0.18,18,290,293,0.1825613079019071,0.2643051771117164,0.08174386920980929,Original markets 1-5 (background)
m1,m1_random_1,0,1,20250728,8,X,seller,283.3,262,277.4,0.279,13,250,283,1.5633802816901405,0.014084507042254047,-1.5492957746478866,Original markets 1-5 (background)
m1,m1_random_2,0,1,20250729,5,Y,buyer,283.3,320,284.1,0.02,15,280,284,-0.08991825613079053,0.019073569482288524,0.10899182561307905,Original markets 1-5 (background)
m1,m1_random_2,0,1,20250729,6,Y,buyer,283.3,286,271.3,-4.5,12,270,274,-4.9259259259259505,-3.4444444444444633,1.4814814814814876,Original markets 1-5 (background)
m1,m1_random_2,0,1,20250729,7,Y,seller,283.3,262,269.7,0.638,11,265,272,0.8591549295774649,0.5305164319248828,-0.32863849765258196,Original markets 1-5 (background)
m1,m1_random_2,0,1,20250729,8,Y,buyer,283.3,348,250.0,-0.515,6,250,250,-0.5146831530139107,-0.5146831530139107,0.0,Original markets 1-5 (background)
m2,m2_paper_0,0,2,20250735,7,X,seller,266.7,240,212.0,2.052,22,200,197,2.4981273408239706,2.6104868913857686,0.1123595505617978,Original markets 1-5 (background)
m2,m2_paper_0,0,2,20250735,8,Y,buyer,266.7,350,327.7,0.732,24,290,349,0.2797118847539017,0.9879951980792316,0.70828331332533,Original markets 1-5 (background)
m2,m2_paper_0,0,2,20250735,9,X,seller,266.7,240,313.8,-1.769,25,348,239,-3.044943820224721,1.0374531835205993,4.08239700374532,Original markets 1-5 (background)
m2,m2_paper_0,0,2,20250735,10,Y,buyer,266.7,350,299.6,0.395,20,299,300,0.3877551020408164,0.39975990396158473,0.012004801920768306,Original markets 1-5 (background)
m2,m2_paper_0,0,2,20250735,11,Y,buyer,266.7,350,300.3,0.403,21,299,301,0.3877551020408164,0.41176470588235303,0.024009603841536612,Original markets 1-5 (background)
m2,m2_paper_1,0,2,20250736,7,X,seller,266.7,240,192.8,2.771,13,180,194,3.247191011235956,2.722846441947566,-0.5243445692883897,Original markets 1-5 (background)
m2,m2_paper_1,0,2,20250736,8,Y,buyer,266.7,350,248.2,-0.222,22,300,200,0.39975990396158473,-0.8007202881152459,-1.2004801920768307,Original markets 1-5 (background)
m2,m2_paper_1,0,2,20250736,9,X,seller,266.7,240,187.4,2.973,16,150,200,4.370786516853934,2.4981273408239706,-1.8726591760299633,Original markets 1-5 (background)
m2,m2_paper_1,0,2,20250736,10,Y,buyer,266.7,350,253.2,-0.162,19,250,250,-0.20048019207683057,-0.20048019207683057,0.0,Original markets 1-5 (background)
m2,m2_paper_1,0,2,20250736,11,Y,buyer,266.7,350,238.2,-0.342,20,250,210,-0.20048019207683057,-0.6806722689075628,-0.48019207683073223,Original markets 1-5 (background)
m2,m2_random_0,0,2,20250737,7,Y,buyer,266.7,350,264.7,-0.023,18,300,200,0.39975990396158473,-0.8007202881152459,-1.2004801920768307,Original markets 1-5 (background)
m2,m2_random_0,0,2,20250737,8,X,seller,266.7,240,272.9,-0.233,23,250,200,0.6254681647940074,2.4981273408239706,1.8726591760299633,Original markets 1-5 (background)
m2,m2_random_0,0,2,20250737,9,Y,buyer,266.7,350,270.0,0.04,16,270,270,0.03961584633853554,0.03961584633853554,0.0,Original markets 1-5 (background)
m2,m2_random_0,0,2,20250737,10,Y,buyer,266.7,350,282.9,0.195,19,270,310,0.03961584633853554,0.5198079231692678,0.48019207683073223,Original markets 1-5 (background)
m2,m2_random_0,0,2,20250737,11,Y,buyer,266.7,350,279.8,0.157,20,295,290,0.3397358943577432,0.2797118847539017,-0.06002400960384153,Original markets 1-5 (background)
m2,m2_random_1,0,2,20250738,7,X,seller,266.7,240,291.6,-0.936,16,294,290,-1.0224719101123605,-0.8726591760299633,0.14981273408239706,Original markets 1-5 (background)
m2,m2_random_1,0,2,20250738,8,Y,buyer,266.7,350,311.0,0.531,21,250,315,-0.20048019207683057,0.5798319327731093,0.7803121248499398,Original markets 1-5 (background)
m2,m2_random_1,0,2,20250738,9,Y,buyer,266.7,350,325.3,0.703,19,300,330,0.39975990396158473,0.7599039615846339,0.3601440576230492,Original markets 1-5 (background)
m2,m2_random_1,0,2,20250738,10,Y,buyer,266.7,350,331.9,0.783,24,340,292,0.879951980792317,0.3037214885954383,-0.5762304921968787,Original markets 1-5 (background)
m2,m2_random_1,0,2,20250738,11,Y,buyer,266.7,350,333.6,0.803,20,340,345,0.879951980792317,0.9399759903961584,0.06002400960384153,Original markets 1-5 (background)
m2,m2_random_2,0,2,20250739,7,X,seller,266.7,240,228.3,1.439,24,200,210,2.4981273408239706,2.123595505617978,-0.37453183520599265,Original markets 1-5 (background)
m2,m2_random_2,0,2,20250739,8,X,seller,266.7,240,192.5,2.78,13,150,198,4.370786516853934,2.5730337078651693,-1.7977528089887649,Original markets 1-5 (background)
m2,m2_random_2,0,2,20250739,9,Y,buyer,266.7,350,291.7,0.3,18,300,300,0.39975990396158473,0.39975990396158473,0.0,Original markets 1-5 (background)
m2,m2_random_2,0,2,20250739,10,Y,buyer,266.7,350,270.8,0.049,26,299,200,0.3877551020408164,-0.8007202881152459,-1.1884753901560623,Original markets 1-5 (background)
m2,m2_random_2,0,2,20250739,11,Y,buyer,266.7,350,260.3,-0.077,19,290,200,0.2797118847539017,-0.8007202881152459,-1.0804321728691475,Original markets 1-5 (background)
m3,m3_gem_paper,0,3,20250745,3,Y,seller,220.0,175,156.3,1.416,20,130,165,2.0,1.2222222222222223,-0.7777777777777778,Original markets 1-5 (background)
m3,m3_gem_paper,0,3,20250745,4,X,buyer,220.0,400,230.0,0.055,27,130,299,-0.5,0.4388888888888889,0.9388888888888889,Original markets 1-5 (background)
m3,m3_gem_paper,0,3,20250745,5,Y,seller,220.0,175,163.0,1.267,23,130,175,2.0,1.0,-1.0,Original markets 1-5 (background)
m3,m3_gem_paper,0,3,20250745,6,Y,seller,220.0,175,170.3,1.104,21,170,175,1.1111111111111112,1.0,-0.1111111111111111,Original markets 1-5 (background)
m3,m3_gem_paper,0,3,20250745,7,X,buyer,220.0,400,227.2,0.04,24,175,380,-0.25,0.8888888888888888,1.1388888888888888,Original markets 1-5 (background)
m3,m3_gem_paper,0,3,20250745,8,Y,seller,220.0,175,181.2,0.862,24,175,170,1.0,1.1111111111111112,0.1111111111111111,Original markets 1-5 (background)
m3,m3_gem_paper,0,3,20250745,9,X,buyer,220.0,400,279.8,0.332,20,220,300,0.0,0.4444444444444444,0.4444444444444444,Original markets 1-5 (background)
m3,m3_gem_paper,0,3,20250745,10,Y,seller,220.0,175,175.3,0.994,19,185,174,0.7777777777777778,1.0222222222222221,0.24444444444444444,Original markets 1-5 (background)
m3,m3_paper_0,0,3,20250745,3,Y,seller,220.0,175,147.0,1.623,21,140,151,1.7777777777777777,1.5333333333333334,-0.24444444444444444,Original markets 1-5 (background)
