market,period,trade_index,n_trades_in_period,price,state,info,vbar,re_price,pi_price,side,D,separating,period_mean_recovered,period_mean_printed,mean_residual,quality_flag
1,9,13,16,310.0,Y,all,283.3333,338.0,338.0,buyer,0.4878,False,309.688,310.0,-0.312,ok
1,9,14,16,340.0,Y,all,283.3333,338.0,338.0,buyer,1.03659,False,309.688,310.0,-0.312,ok
1,9,15,16,340.0,Y,all,283.3333,338.0,338.0,buyer,1.03659,False,309.688,310.0,-0.312,ok
1,9,16,16,340.0,Y,all,283.3333,338.0,338.0,buyer,1.03659,False,309.688,310.0,-0.312,ok
1,10,1,17,300.0,X,all,283.3333,320.0,320.0,buyer,0.45455,False,327.941,328.0,-0.059,ok
1,10,2,17,310.0,X,all,283.3333,320.0,320.0,buyer,0.72727,False,327.941,328.0,-0.059,ok
1,10,3,17,315.0,X,all,283.3333,320.0,320.0,buyer,0.86364,False,327.941,328.0,-0.059,ok
1,10,4,17,315.0,X,all,283.3333,320.0,320.0,buyer,0.86364,False,327.941,328.0,-0.059,ok
1,10,5,17,315.0,X,all,283.3333,320.0,320.0,buyer,0.86364,False,327.941,328.0,-0.059,ok
1,10,6,17,325.0,X,all,283.3333,320.0,320.0,buyer,1.13636,False,327.941,328.0,-0.059,ok
1,10,7,17,325.0,X,all,283.3333,320.0,320.0,buyer,1.13636,False,327.941,328.0,-0.059,ok
1,10,8,17,330.0,X,all,283.3333,320.0,320.0,buyer,1.27273,False,327.941,328.0,-0.059,ok
1,10,9,17,330.0,X,all,283.3333,320.0,320.0,buyer,1.27273,False,327.941,328.0,-0.059,ok
1,10,10,17,330.0,X,all,283.3333,320.0,320.0,buyer,1.27273,False,327.941,328.0,-0.059,ok
1,10,11,17,335.0,X,all,283.3333,320.0,320.0,buyer,1.40909,False,327.941,328.0,-0.059,ok
1,10,12,17,335.0,X,all,283.3333,320.0,320.0,buyer,1.40909,False,327.941,328.0,-0.059,ok
1,10,13,17,340.0,X,all,283.3333,320.0,320.0,buyer,1.54545,False,327.941,328.0,-0.059,ok
1,10,14,17,340.0,X,all,283.3333,320.0,320.0,buyer,1.54545,False,327.941,328.0,-0.059,ok
1,10,15,17,340.0,X,all,283.3333,320.0,320.0,buyer,1.54545,False,327.941,328.0,-0.059,ok
1,10,16,17,345.0,X,all,283.3333,320.0,320.0,buyer,1.68182,False,327.941,328.0,-0.059,ok
1,10,17,17,345.0,X,all,283.3333,320.0,320.0,buyer,1.68182,False,327.941,328.0,-0.059,ok
1,11,1,19,300.0,Y,all,283.3333,349.0,349.0,buyer,0.25381,False,346.579,347.0,-0.421,ok
1,11,2,19,345.0,Y,all,283.3333,349.0,349.0,buyer,0.93909,False,346.579,347.0,-0.421,ok
1,11,3,19,350.0,Y,all,283.3333,349.0,349.0,buyer,1.01523,False,346.579,347.0,-0.421,ok
1,11,4,19,350.0,Y,all,283.3333,349.0,349.0,buyer,1.01523,False,346.579,347.0,-0.421,ok
